random_seed,AMM_fee,BA_fee,DA_fee,FX_fee,IMPROVED_AMM_fee,IMPROVED_BA_fee,IMPROVED_DA_fee,IMPROVED_FX_fee,IMPROVED_OB_fee,OB_fee
359,27.79,25.11,15.5,20.47,27.79,25.11,15.5,20.47,32.77,32.77
36,26.78,21.02,21.65,20.29,26.78,21.02,21.65,20.29,32.57,32.57
360,26.94,22.5,21.79,20.64,26.94,22.5,21.79,20.64,32.83,32.83
361,28.64,24.24,22.47,20.4,28.64,24.24,22.47,20.4,33.14,33.14
362,26.85,22.53,22.1,20.4,26.85,22.53,22.1,20.4,32.96,32.96
363,26.63,20.95,20.07,20.31,26.63,20.95,20.07,20.31,32.83,32.83
364,27.59,22.08,18.15,20.32,27.59,22.08,18.15,20.32,32.71,32.71
365,27.79,21.85,21.47,20.52,27.79,21.85,21.47,20.52,33.04,33.04
366,27.15,19.75,20.87,20.36,27.15,19.75,20.87,20.36,32.74,32.74
367,27.92,22.45,17.71,20.37,27.92,22.45,17.71,20.37,32.8,32.8
368,29.43,22.97,17.4,20.43,29.43,22.97,17.4,20.43,32.61,32.61
369,27.18,21.26,23.67,20.76,27.18,21.26,23.67,20.76,33.24,33.24
37,25.4,20.99,20.43,20.59,25.4,20.99,20.43,20.59,32.94,32.94
370,26.84,20.86,19.63,20.43,26.84,20.86,19.63,20.43,33.2,33.2
371,27.12,22.08,20.79,20.46,27.12,22.08,20.79,20.46,32.35,32.35
372,30.77,23.23,21.87,20.57,30.77,23.23,21.87,20.57,33.1,33.1
373,28.06,24.63,16.06,20.19,28.06,24.63,16.06,20.19,32.82,32.82
374,27.96,25.19,14.93,20.27,27.96,25.19,14.93,20.27,32.54,32.54
375,27.84,22.55,18.0,20.43,27.84,22.55,18.0,20.43,32.84,32.84
376,30.18,21.16,20.38,20.63,30.18,21.16,20.38,20.63,33.16,33.16
377,29.26,24.65,23.39,20.27,29.26,24.65,23.39,20.27,32.72,32.72
378,25.34,21.45,18.65,19.9,25.34,21.45,18.65,19.9,32.53,32.53
379,27.12,25.06,15.35,20.22,27.12,25.06,15.35,20.22,32.68,32.68
38,28.39,25.0,22.15,20.14,28.39,25.0,22.15,20.14,32.45,32.45
380,27.74,23.85,16.04,19.99,27.74,23.85,16.04,19.99,32.2,32.2
381,26.62,21.5,21.96,20.33,26.62,21.5,21.96,20.33,32.29,32.29
382,28.84,25.09,14.47,19.81,28.84,25.09,14.47,19.81,32.67,32.67
383,28.91,22.29,18.54,20.48,28.91,22.29,18.54,20.48,32.58,32.58
384,26.91,23.06,18.12,20.51,26.91,23.06,18.12,20.51,32.89,32.89
